kmname,str
consultant,i have request consultation
consultant,consultant
consultant,consulting physician
consultant,consult physician
consultant,consultation
consultant,consultant
operating_room_consultation,operating_room_consultation
operating_room_consultation,operating room consultation
operating_room_consultation,operate room consultation
endoscopist,endoscopist
endoscopist,endoscopist
perfusionist,perfusionist
perfusionist,perfusionist
standard_coding_systems,standard coding systems
standard_coding_systems,standard code system
standard_coding_systems,standard_coding_systems
cpt_code,cpt
cpt_code,cpt code
cpt_code,cpt_code
icd_code,icd10 code
icd_code,icd code
icd_code,icd9 code
icd_code,icd_code
icd_code,ICD9
icd_code,icd9
icd_code,icd10
patient_history,patient_history
patient_history,patient history
patient_history,pt history
demographics,demographics
demographics,demographics
age,age
age,patient age
age,age
estimated_gestational_age,Gestational age
estimated_gestational_age,gestational age
estimated_gestational_age,estimated_gestational_age
estimated_gestational_age,ega
estimated_gestational_age,estimated gestational age
estimated_gestational_age,estimate gestational age
ega_by_date,ega by date
ega_by_date,ega date
ega_by_date,ega_by_date
ega_by_date,Gestational Age by dates
ega_by_date,gestational age by date
ega_by_date,gestational age date
ega_by_exam,ega by
ega_by_exam,ega
ega_by_exam,ega_by_exam
ega_by_exam,ega by examination
ega_by_exam,ega examination
ega_by_exam,ega by exam
ega_by_exam,ega exam
ega_by_exam,Gestational Age by exam
ega_by_exam,gestational age by exam
ega_by_exam,gestational age exam
ega_by_ultrasound,ega_by_ultrasound
ega_by_ultrasound,Gestational Age by ultrasound
ega_by_ultrasound,gestational age by ultrasound
ega_by_ultrasound,gestational age ultrasound
ega_by_ultrasound,ega by ultrasound
ega_by_ultrasound,ega ultrasound
race,race
race,Race/Ethnic Background
race,race ethnic background
race,race
gender,sex
gender,gender
gender,gender
address,address
address,Place of residence
address,place of residence
address,place residence
address,location
address,address
home_address,home_address
home_address,home address
work_address,work address
work_address,work_address
emergency_contact,emergency contact
emergency_contact,emergency_contact
insurance,insurance
insurance,insurance
phone_number,phone number
phone_number,phone_number
phone_number,phone
home_phone_number,home_phone_number
home_phone_number,home phone
home_phone_number,home phone number
home_phone_number,home number
cell_phone_number,cellphone
cell_phone_number,cell phone
cell_phone_number,cell_phone_number
cell_phone_number,cell phone number
cell_phone_number,cell number
cell_phone_number,cellular
cell_phone_number,cell
work_phone_number,work
work_phone_number,work phone
work_phone_number,work phone number
work_phone_number,work number
work_phone_number,work_phone_number
patient_name,patient
patient_name,patient name
patient_name,patient_name
patient_name,name
mrn,medical record number
mrn,mrn
mrn,mr
mrn,mr no
mrn,PATIENT MEDICAL RECORD NUMBER
mrn,patient medical record number
mrn,mr num
mrn,mr#
mrn,mr
mrn,mrn
gravida,gravida
gravida,g
gravida,gravida
para,p
para,para
para,para
clinic,clinic
clinic,clinic
room,room no
room,room number
room,bed number
room,room
room,room
unit,unit number
unit,unit no
unit,bed/unit
unit,bed unit
unit,unit
unit,unit
ssn,ssn
ssn,social security number
ssn,ssn
case_number,case
case_number,case number
case_number,Case #
case_number,case
case_number,case_number
case_number,case no
admission_date,admission_date
admission_date,admission date
service,admitting service
service,admit service
service,service
service,service
service,medical service
admitting_attending,admitting attending
admitting_attending,admit attending
admitting_attending,admitting_attending
admitting_attending,ATTENDING THORACIC SURGEON
admitting_attending,attending thoracic surgeon
consultation_attending,consultation_attending
consultation_attending,consultation attending
date_time,date_time
date_time,date & time
date_time,date time
date_time,date time
date_time,date and time
date_time,date time
date,date
date,date
date_of_birth,birthdate
date_of_birth,dob
date_of_birth,date of birth
date_of_birth,date birth
date_of_birth,birth date
date_of_birth,date_of_birth
date_of_discharge,date_of_discharge
date_of_discharge,date of discharge
date_of_discharge,date discharge
date_of_discharge,discharged
date_of_discharge,discharge
date_of_discharge,discharge date
date_of_discharge,Discharge patient on
date_of_death,date_of_death
date_of_death,date of death
date_of_death,date death
date_of_injury,date of injury
date_of_injury,date injury
date_of_injury,date_of_injury
date_of_surgery,date of surgery
date_of_surgery,date surgery
date_of_surgery,date_of_surgery
date_of_examination,date of exam
date_of_examination,date exam
date_of_examination,date of evaluation
date_of_examination,date evaluation
date_of_examination,date of examination
date_of_examination,date examination
date_of_examination,date_of_examination
date_of_autopsy,date_of_autopsy
date_of_autopsy,date of autopsy
date_of_autopsy,date autopsy
date_of_procedure,date of procedure
date_of_procedure,date procedure
date_of_procedure,procedure date
date_of_procedure,date_of_procedure
date_of_request,date of request
date_of_request,date request
date_of_request,date_of_request
date_of_service,visit date
date_of_service,date of service
date_of_service,date service
date_of_service,date_of_service
date_of_admission,date of admission
date_of_admission,date admission
date_of_admission,admission date
date_of_admission,date_of_admission
date_of_admission,admitted
report_date,report date
report_date,report_date
duration_of_recording,duration_of_recording
duration_of_recording,duration of recording
duration_of_recording,duration recording
due_date,due_date
due_date,due date
estimated_due_date,edc
estimated_due_date,edod
estimated_due_date,estimated due date
estimated_due_date,estimate due date
estimated_due_date,estimated_due_date
estimated_due_date,edd
final_due_date,final edc
final_due_date,final_due_date
final_due_date,final due date
conception_date,estimated date of conception
conception_date,estimate date of conception
conception_date,estimate date conception
conception_date,conception date
conception_date,conception_date
conception_date,date of conception
conception_date,date conception
date_dictated,date_dictated
date_dictated,D
date_dictated,d
date_dictated,date dictated
date_dictated,date dictate
date_dictated,DD
date_dictated,dd
date_transcribed,DT
date_transcribed,dt
date_transcribed,date transcribed
date_transcribed,date transcribe
date_transcribed,date_transcribed
date_transcribed,T
date_transcribed,t
time,time
time,time
time_of_arrival,time of arrival
time_of_arrival,time arrival
time_of_arrival,time_of_arrival
time_of_injury,time_of_injury
time_of_injury,time of injury
time_of_injury,time injury
time_of_birth,time of birth
time_of_birth,time birth
time_of_birth,birth time
time_of_birth,time_of_birth
patient_summary,patient summary
patient_summary,patient_summary
identifying_information,identifying information
identifying_information,identify information
identifying_information,patient info
identifying_information,patient identification
identifying_information,identification
identifying_information,identifying data
identifying_information,identify data
identifying_information,identifying_information
code_status,code
code_status,code_status
code_status,code status
advanced_directives,living will
advanced_directives,live will
advanced_directives,advanced_directives
advanced_directives,advanced directives
condition,condition
condition,condition
admission_condition,admission condition
admission_condition,condition at admission
admission_condition,condition admission
admission_condition,admission_condition
admission_condition,condition on admission
admission_condition,condition admission
discharge_condition,condition on discharge
discharge_condition,condition discharge
discharge_condition,discharge condition
discharge_condition,discharge_condition
discharge_condition,condition at discharge
discharge_condition,condition discharge
diagnoses,diagnosis
diagnoses,diagnoses
diagnoses,diagnosis
diagnoses,diagnoses
principle_diagnosis,principle diagnoses
principle_diagnosis,principle diagnosis
principle_diagnosis,principal diagnoses
principle_diagnosis,principal diagnosis
principle_diagnosis,primary diagnoses
principle_diagnosis,primary diagnosis
principle_diagnosis,main diagnosis
principle_diagnosis,principle_diagnosis
principle_diagnosis,principle diagnosis
principle_diagnosis,principal diagnosis
secondary_diagnoses,other diagnosis
secondary_diagnoses,secondary diagnoses
secondary_diagnoses,secondary diagnosis
secondary_diagnoses,secondary diagnosis
secondary_diagnoses,secondary_diagnoses
secondary_diagnoses,seconary diagnoses
secondary_diagnoses,seconary diagnosis
secondary_diagnoses,seconary diagnosis
secondary_diagnoses,other diagnoses
secondary_diagnoses,other diagnose
secondary_diagnoses,additional diagnoses
secondary_diagnoses,ASSOCIATED DIAGNOSES
secondary_diagnoses,associate diagnose
secondary_diagnoses,additional diagnosis
diagnosis_at_death,cause of death
diagnosis_at_death,cause death
diagnosis_at_death,diagnosis_at_death
diagnosis_at_death,diagnosis at death
diagnosis_at_death,diagnosis death
other_diagnosis,other diagnosis
other_diagnosis,other_diagnosis
cytologic_diagnosis,cytologic_diagnosis
cytologic_diagnosis,cytologic diagnosis
admission_diagnosis,admission diagnoses
admission_diagnosis,admission diagnosis
admission_diagnosis,admission diagnosis
admission_diagnosis,admitting diagnoses
admission_diagnosis,admit diagnosis
admission_diagnosis,admission_diagnosis
admission_diagnosis,admitting diagnosis
admission_diagnosis,admit diagnosis
admission_diagnosis,admit diagnoses
admission_diagnosis,admit diagnosis
discharge_diagnosis,discharge diagnoses
discharge_diagnosis,discharge diagnosis
discharge_diagnosis,discharge diagnosis
discharge_diagnosis,discharge_diagnosis
discharge_diagnosis,discharge diagnoses and disposition
discharge_diagnosis,discharge diagnosis and disposition
discharge_diagnosis,discharge diagnosis disposition
postprocedure_diagnosis,postprocedure diagnosis
postprocedure_diagnosis,postprocedure_diagnosis
postprocedure_diagnosis,postoperative diagnoses
postprocedure_diagnosis,postoperative diagnosis
postprocedure_diagnosis,postoperative diagnosis
preprocedure_diagnosis,preprocedure diagnosis
preprocedure_diagnosis,preoperative diagnosis
preprocedure_diagnosis,preprocedure_diagnosis
preprocedure_diagnosis,preoperative diagnoses
preprocedure_diagnosis,preoperative diagnosis
final_diagnosis,final diagnose
final_diagnosis,final_diagnosis
final_diagnosis,final diagnosis
final_diagnosis,final diagnoses
final_diagnosis,final diagnosis
final_diagnosis,final impression
psychiatric_diagnostic_classifications,psychiatric_diagnostic_classifications
psychiatric_diagnostic_classifications,psychiatric diagnostic classifications
psychiatric_diagnostic_classifications,psychiatric diagnostic classification
axis_i,axis i
axis_i,axis_i
axis_ii,axis_ii
axis_ii,axis ii
axis_iii,axis iii
axis_iii,axis_iii
axis_iv,axis_iv
axis_iv,axis iv
axis_v,axis_v
axis_v,axis v
global_assessment_functioning,global assessment of functioning
global_assessment_functioning,global assessment of function
global_assessment_functioning,global assessment function
global_assessment_functioning,global assessment functioning
global_assessment_functioning,global assessment function
global_assessment_functioning,global_assessment_functioning
global_assessment_functioning,gaf
current_gaf,current_gaf
current_gaf,current gaf
past_year_gaf,past year gaf
past_year_gaf,past_year_gaf
procedures,procedures
procedures,procedure
procedures,procedural
procedures,procedure
procedures,procedures performed during the hospitalization
procedures,procedure perform during the hospitalization
procedures,procedure perform during hospitalization
procedures,procedure performed
procedures,procedure perform
procedures,procedures
secondary_procedures,secondary procedure
secondary_procedures,secondary_procedures
secondary_procedures,seconary procedure
secondary_procedures,other procedure
secondary_procedures,secondary procedures
secondary_procedures,secondary procedure
secondary_procedures,seconary procedures
secondary_procedures,seconary procedure
principal_procedures,primary procedure
principal_procedures,principal procedures
principal_procedures,principal procedure
principal_procedures,principal_procedures
principal_procedures,primary procedures
principal_procedures,primary procedure
principal_procedures,principal procedure
surgical_procedures,surgical procedures
surgical_procedures,surgical procedure
surgical_procedures,surgical_procedures
surgical_procedures,surgical
surgical_procedures,operations/procedures
surgical_procedures,operation procedure
surgical_procedures,operation performed
surgical_procedures,operation perform
surgical_procedures,operative procedure
surgical_procedures,operation
surgical_procedures,operations and procedures
surgical_procedures,operation and procedure
surgical_procedures,operation procedure
diet,diet
diet,feeding and dietary status
diet,feeding dietary status
diet,nutrition
diet,dietary
diet,eating habits
diet,eat habit
diet,diet
discharge_diet,diet at discharge
discharge_diet,diet discharge
discharge_diet,diet on discharge
discharge_diet,diet discharge
discharge_diet,discharge diet
discharge_diet,discharge_diet
birth_history,birth data
birth_history,birth_history
birth_history,birth history
birth_weight,birth_weight
birth_weight,birth wt
birth_weight,bw
birth_weight,birth weight
birth_length,birth length
birth_length,length
birth_length,birth_length
birth_headcircumference,head circ at birth
birth_headcircumference,head circ birth
birth_headcircumference,birth headcircumference
birth_headcircumference,birth_headcircumference
birth_headcircumference,birth head circumference
chief_complaint,identifying data/chief complaint
chief_complaint,identify data chief complaint
chief_complaint,reason for admission
chief_complaint,reason admission
chief_complaint,chief_complaint
chief_complaint,chief concern
chief_complaint,reason for hospitalization
chief_complaint,reason hospitalization
chief_complaint,id/cc
chief_complaint,id cc
chief_complaint,reason for visit
chief_complaint,reason visit
chief_complaint,cc
chief_complaint,here for a chief complaint of
chief_complaint,here a chief complaint
chief_complaint,identification/chief complaint
chief_complaint,identification chief complaint
chief_complaint,identification and chief complaint
chief_complaint,identification chief complaint
chief_complaint,chief complaint
chief_complaint,reason for admission and consultation
chief_complaint,reason admission consultation
chief_complaint,reason for admission/chief complaint
chief_complaint,reason for admission chief complaint
chief_complaint,reason admission chief complaint
chief_complaint,identifying data/chief complaint
chief_complaint,identify data chief complaint
chief_complaint,reason for admission
chief_complaint,reason admission
chief_complaint,chief_complaint
chief_complaint,chief concern
chief_complaint,reason for hospitalization
chief_complaint,reason hospitalization
chief_complaint,id/cc
chief_complaint,id cc
chief_complaint,reason for visit
chief_complaint,reason visit
chief_complaint,cc
chief_complaint,here for a chief complaint of
chief_complaint,here a chief complaint
chief_complaint,identification/chief complaint
chief_complaint,identification chief complaint
chief_complaint,identification and chief complaint
chief_complaint,identification chief complaint
chief_complaint,chief complaint
chief_complaint,reason for admission and consultation
chief_complaint,reason admission consultation
chief_complaint,reason for admission/chief complaint
chief_complaint,reason for admission chief complaint
chief_complaint,reason admission chief complaint
reason_for_consult,reason for consultation
reason_for_consult,reason consultation
reason_for_consult,Reason for consult/questions
reason_for_consult,reason for consult question
reason_for_consult,reason consult question
reason_for_consult,reason_for_consult
reason_for_consult,reason for referral
reason_for_consult,reason referral
reason_for_consult,reason for consult
reason_for_consult,reason consult
history_present_illness,hpi/interval history
history_present_illness,hpi interval history
history_present_illness,patient hpi
history_present_illness,summary of present illness
history_present_illness,summary present illness
history_present_illness,history/physical examination
history_present_illness,history physical examination
history_present_illness,clinical history
history_present_illness,present illness
history_present_illness,indication
history_present_illness,hpi
history_present_illness,in clinical history
history_present_illness,clinical history
history_present_illness,clinical history/indications
history_present_illness,clinical history indication
history_present_illness,issues briefly as following
history_present_illness,issue briefly as following
history_present_illness,history
history_present_illness,current medical problems
history_present_illness,current medical problem
history_present_illness,indications
history_present_illness,indication
history_present_illness,patient history
history_present_illness,history of chronic illness
history_present_illness,history chronic illness
history_present_illness,clinical presentation
history_present_illness,history of present illness
history_present_illness,history present illness
history_present_illness,issues briefly as follows
history_present_illness,issue briefly as follow
history_present_illness,clinical indication
history_present_illness,history_present_illness
history_present_illness,history of the present illness
history_present_illness,history present illness
history_present_illness,interval history
history_present_illness,history present illness
history_present_illness,hpi/interval history
history_present_illness,hpi interval history
history_present_illness,patient hpi
history_present_illness,summary of present illness
history_present_illness,summary present illness
history_present_illness,history/physical examination
history_present_illness,history physical examination
history_present_illness,clinical history
history_present_illness,present illness
history_present_illness,indication
history_present_illness,hpi
history_present_illness,in clinical history
history_present_illness,clinical history
history_present_illness,clinical history/indications
history_present_illness,clinical history indication
history_present_illness,issues briefly as following
history_present_illness,issue briefly as following
history_present_illness,history
history_present_illness,current medical problems
history_present_illness,current medical problem
history_present_illness,indications
history_present_illness,indication
history_present_illness,patient history
history_present_illness,history of chronic illness
history_present_illness,history chronic illness
history_present_illness,clinical presentation
history_present_illness,history of present illness
history_present_illness,history present illness
history_present_illness,issues briefly as follows
history_present_illness,issue briefly as follow
history_present_illness,clinical indication
history_present_illness,history_present_illness
history_present_illness,history of the present illness
history_present_illness,history present illness
history_present_illness,interval history
history_present_illness,history present illness
subjective,s
subjective,subjective
subjective,subjective
history_of_exposure,history_of_exposure
history_of_exposure,history of exposure
history_of_exposure,history exposure
brief_history,brief_history
brief_history,brief history
current_pregnancy,current pregnancy
current_pregnancy,current_pregnancy
other_issues,other_issues
other_issues,other issues
other_issues,other issue
pertinent_clinical_findings,pertinent clinical findings
pertinent_clinical_findings,pertinent clinical finding
pertinent_clinical_findings,pertinent_clinical_findings
pain_history,pain history
pain_history,pain_history
pain_temporal_pattern,pain_temporal_pattern
pain_temporal_pattern,pain temporal pattern
pain_alleviating_factors,pain_alleviating_factors
pain_alleviating_factors,pain alleviating factors
pain_alleviating_factors,pain alleviate factor
pain_initiating_event,pain initiating event
pain_initiating_event,pain initiate event
pain_initiating_event,pain_initiating_event
reason_for_study,reason for exam
reason_for_study,reason exam
reason_for_study,indications for procedure
reason_for_study,indication for procedure
reason_for_study,indication procedure
reason_for_study,reason_for_study
reason_for_study,reason for study
reason_for_study,reason study
reason_for_study,purpose of study
reason_for_study,purpose study
reason_for_study,indication for surgery
risk_factors,risk factors
risk_factors,risk factor
risk_factors,risk_factors
cardiac_risk_factors,cardiac risk factors
cardiac_risk_factors,cardiac risk factor
cardiac_risk_factors,cardiac_risk_factors
cardiac_risk_factors,coronary risk factors
cardiac_risk_factors,coronary risk factor
cardiac_risk_factors,cardiac risk
cardiac_risk_factors,coronary artery disease risk factors
cardiac_risk_factors,coronary artery disease risk factor
gi_risk_factors,gi_risk_factors
gi_risk_factors,gi risk
gi_risk_factors,gi risk factors
gi_risk_factors,gi risk factor
cancer_risk_factors,cancer risk factors
cancer_risk_factors,cancer risk factor
cancer_risk_factors,cancer risk
cancer_risk_factors,cancer_risk_factors
derm_risk_factors,derm_risk_factors
derm_risk_factors,derm risk factors
derm_risk_factors,derm risk factor
derm_risk_factors,derm risk
neurological_risk_factors,neurological_risk_factors
neurological_risk_factors,neurological risk factors
neurological_risk_factors,neurological risk factor
neurological_risk_factors,neurological risk
cerebral_vascular_risk_factors,cerebral vascular risk
cerebral_vascular_risk_factors,cerebral_vascular_risk_factors
cerebral_vascular_risk_factors,cerebral vascular risk factors
cerebral_vascular_risk_factors,cerebral vascular risk factor
cerebral_vascular_risk_factors,stroke risk factors
cerebral_vascular_risk_factors,stroke risk factor
epilepsy_risk_factors,epilepsy risk factors
epilepsy_risk_factors,epilepsy risk factor
epilepsy_risk_factors,epilepsy risk
epilepsy_risk_factors,seizure risk factors
epilepsy_risk_factors,seizure risk factor
epilepsy_risk_factors,epilepsy_risk_factors
congenital_risk_factors,congenital_risk_factors
congenital_risk_factors,congenital risk
congenital_risk_factors,congenital risk factors
congenital_risk_factors,congenital risk factor
pulmonary_risk_factors,pulmonary risk factors
pulmonary_risk_factors,pulmonary risk factor
pulmonary_risk_factors,pulmonary_risk_factors
pulmonary_risk_factors,pulmonary risk
trauma_risk_factors,trauma risk
trauma_risk_factors,trauma risk factors
trauma_risk_factors,trauma risk factor
trauma_risk_factors,trauma_risk_factors
abuse_risk_factors,abuse risk
abuse_risk_factors,abuse risk factors
abuse_risk_factors,abuse risk factor
abuse_risk_factors,abuse_risk_factors
psychological_risk_factors,psychiatric risk factors
psychological_risk_factors,psychiatric risk factor
psychological_risk_factors,psychological risk factors
psychological_risk_factors,psychological risk factor
psychological_risk_factors,psychological risk
psychological_risk_factors,psychological_risk_factors
psychological_risk_factors,Psychosocial risks
psychological_risk_factors,psychosocial risk
home_risk_factors,home risk
home_risk_factors,home_risk_factors
home_risk_factors,home risk factors
home_risk_factors,home risk factor
home_risk_factors,Important problems in home life
home_risk_factors,important problem in home life
home_risk_factors,important problem home life
work_risk_factors,work risk factors
work_risk_factors,work risk factor
work_risk_factors,Personal problems in patients work life
work_risk_factors,personal problem in patient work life
work_risk_factors,personal problem patient work life
work_risk_factors,work risk
work_risk_factors,work_risk_factors
changes_to_admission_note,addition or correction to the admission note
changes_to_admission_note,addition correction admission note
changes_to_admission_note,changes_to_admission_note
changes_to_admission_note,additions and corrections to admission note
changes_to_admission_note,addition and correction to admission note
changes_to_admission_note,addition correction admission note
changes_to_admission_note,additions and/or corrections to the admission note
changes_to_admission_note,addition and or correction to the admission note
changes_to_admission_note,addition correction admission note
changes_to_admission_note,addition and/or correction to admission
changes_to_admission_note,addition and or correction to admission
changes_to_admission_note,addition correction admission
changes_to_admission_note,corrections to admission note
changes_to_admission_note,correction to admission note
changes_to_admission_note,correction admission note
changes_to_admission_note,addition correction admission note
changes_to_admission_note,addition and/or correction to the admission note
changes_to_admission_note,addition and or correction to the admission note
changes_to_admission_note,addition correction admission note
changes_to_admission_note,changes to admission note
changes_to_admission_note,change to admission note
changes_to_admission_note,change admission note
hospital_course,course in the emergency department
hospital_course,course emergency department
hospital_course,hospital course
hospital_course,hospital_course
hospital_course,history/hospital course
hospital_course,history hospital course
hospital_course,brief hospital course
clinical_trend,clinical trend
clinical_trend,clinical_trend
hospital_course_by_problem,summary of hospital course by problem
hospital_course_by_problem,summary hospital course problem
hospital_course_by_problem,hospital_course_by_problem
hospital_course_by_problem,hospital course by problem
hospital_course_by_problem,hospital course problem
hospital_course_by_problem,hospital course by problems
hospital_course_by_problem,hospital course by problem
hospital_course_by_problem,hospital course problem
hospital_course_by_location,hospital_course_by_location
hospital_course_by_location,hospital course by location
hospital_course_by_location,hospital course location
emergency_department_course,emergency department course
emergency_department_course,course in the emergency department
emergency_department_course,course emergency department
emergency_department_course,emergency department course/medical decision-makin
emergency_department_course,emergency department course medical decision makin
emergency_department_course,emergency department course/medical decision makin
emergency_department_course,emergency department course medical decision makin
emergency_department_course,emergency_department_course
emergency_department_course,emergency department course/diagnostic data
emergency_department_course,emergency department course diagnostic data
emergency_department_course,emergency room course
emergency_department_course,emergency department management
emergency_department_course,ed course
nursery_course,nursery_course
nursery_course,nursery course
nicu_course,nicu course
nicu_course,nicu_course
micu_course,micu course
micu_course,micu_course
hospital_course_by_system,hospital_course_by_system
hospital_course_by_system,hospital course by system
hospital_course_by_system,hospital course system
hospital_course_by_system,icu course by system
hospital_course_by_system,icu course system
hospital_course_by_system,summary by system
general_course,general_course
general_course,general course
general_course,gen
derm_course,integ
derm_course,integumentary system
derm_course,skn
derm_course,derm course
derm_course,integumentary
derm_course,dermatologic
derm_course,skin
derm_course,derm_course
derm_course,derm
derm_course,skin/dermatologic
derm_course,skin dermatologic
derm_course,integument
heent_course,heent course
heent_course,heent/neck
heent_course,heent neck
heent_course,heent_course
heent_course,heent
heent_course,hent
heent_course,head eyes ears nose and throat
heent_course,head eye ear nose and throat
heent_course,head eye ear nose throat
head_neck_course,head neck course
head_neck_course,head & neck
head_neck_course,head neck
head_neck_course,head/neck
head_neck_course,head neck
head_neck_course,head and neck
head_neck_course,head neck
head_neck_course,head_neck_course
head_course,head_course
head_course,head course
head_course,head
neck_course,neck_course
neck_course,neck
neck_course,neck course
ent_course,ears & nose & sinuses & mouth & thr
ent_course,ear nose sinus mouth thr
ent_course,ent course
ent_course,ent
ent_course,ent_course
ears_course,ear
ears_course,ears course
ears_course,ear course
ears_course,ears_course
hearing_course,hearing course
hearing_course,hearing_course
nose_course,nose course
nose_course,nose
nose_course,nose_course
throat_course,throat_course
throat_course,throat course
throat_course,throat
ophthalmologic_course,ophtalmologic
ophthalmologic_course,eye
ophthalmologic_course,ophthalmologic_course
ophthalmologic_course,eyes
ophthalmologic_course,eye
ophthalmologic_course,ophtho
ophthalmologic_course,ophthalmologic
ophthalmologic_course,ophthalmologic course
oral_cavity_course,oral cavity course
oral_cavity_course,oral_cavity_course
oral_cavity_course,oropharynx
oral_cavity_course,op
face_course,face course
face_course,face_course
face_course,face
lymphatic_course,lym
lymphatic_course,lymphatic_course
